chronic_id,records,observed_episodes,first_record_index,last_record_index,minimum_timestep,maximum_timestep,mean_max_rho,mean_disconnected_lines,normal_records,overload_records,line_trip_records,cascade_records
28,422,1,1647,2068,53,943,0.785501,1.530806,8,10,287,117
29,321,1,2069,2389,7,1079,0.765512,1.785047,14,9,203,95
30,55,1,2390,2444,33,185,0.841429,2.836364,0,6,19,30
31,56,1,2445,2500,6,80,0.691532,2.089286,0,0,52,4
32,18,1,2501,2518,6,84,0.689938,4.277778,2,0,12,4
33,312,1,2519,2830,5,905,0.75598,1.634615,9,4,185,114
34,179,1,2831,3009,3,550,0.814124,1.659218,12,20,109,38
35,1,1,3010,3010,3,3,0.0,59.0,0,0,0,1
36,153,1,3011,3163,6,462,0.720569,1.444444,7,0,128,18
37,60,1,3164,3223,6,165,0.761005,2.3,3,2,33,22
38,52,1,3224,3275,12,262,0.848046,1.884615,12,0,39,1
39,112,1,3276,3387,8,513,0.85152,1.4375,11,2,96,3
40,36,1,3388,3423,2,99,0.780072,2.805556,2,4,24,6
41,131,1,3424,3554,0,296,0.780359,1.877863,2,4,77,48
42,17,1,3555,3571,36,135,0.76357,4.352941,2,2,11,2
43,140,1,3572,3711,21,399,0.687593,1.814286,5,6,93,36
44,260,1,3712,3971,8,719,0.747533,1.380769,8,3,203,46
45,16,1,3972,3987,0,56,0.891256,4.875,2,6,7,1
46,51,1,3988,4038,19,194,0.787762,2.156863,1,0,47,3
47,27,1,4039,4065,2,95,0.81904,3.740741,2,4,8,13
48,120,1,4066,4185,8,255,0.709175,1.875,4,2,85,29
49,54,1,4186,4239,23,208,0.68142,2.185185,3,3,39,9
50,137,1,4240,4376,9,169,0.727592,2.014599,0,5,80,52
51,6,1,4377,4382,4,37,0.733753,10.666667,0,0,5,1
52,25,1,4383,4407,8,88,0.705582,3.2,3,2,19,1
53,22,1,4408,4429,8,191,0.733997,3.545455,2,3,16,1
54,65,1,4430,4494,33,200,0.675471,1.969231,1,2,55,7
55,16,1,4495,4510,11,70,0.622453,4.625,0,0,15,1
56,190,1,4511,4700,0,435,0.750296,1.742105,7,6,124,53
57,96,1,4701,4796,10,370,0.707857,1.708333,6,3,70,17
58,14,1,4797,4810,4,30,0.637642,5.142857,0,0,13,1
59,101,1,4811,4911,12,188,0.781065,2.524752,0,8,34,59
60,43,1,4912,4954,5,118,0.731949,2.744186,4,2,24,13
61,3,1,4955,4957,5,7,0.872062,20.333333,0,2,0,1
62,33,1,4958,4990,9,52,0.856117,3.787879,1,2,11,19
63,91,1,4991,5081,2,221,0.709526,1.934066,0,2,65,24
64,6,1,5082,5087,5,17,0.761777,10.5,1,2,2,1
65,123,1,5088,5210,4,289,0.702045,1.495935,1,0,117,5
66,1,1,5211,5211,38,38,0.0,59.0,0,0,0,1
67,116,1,5212,5327,6,244,0.713759,1.637931,2,4,96,14
68,2,1,5328,5329,9,21,0.317587,29.5,1,0,0,1
69,15,1,5330,5344,26,62,0.730202,4.866667,1,1,12,1
70,88,1,5345,5432,9,295,0.766652,2.022727,2,5,65,16
71,7,1,5433,5439,2,16,0.547028,9.285714,0,0,6,1
72,16,1,5440,5455,0,78,0.795853,4.375,4,2,9,1
73,94,1,5456,5549,0,316,0.772248,1.670213,2,3,82,7
74,49,1,5550,5598,13,91,0.865942,2.959184,3,9,9,28
75,4,1,5599,5602,0,33,0.720075,15.25,1,2,0,1
76,11,1,5603,5613,2,22,0.582574,6.272727,0,0,10,1
77,92,1,5614,5705,11,251,0.661436,2.402174,2,2,30,58
78,12,1,5706,5717,52,118,0.736304,5.75,1,0,10,1
79,19,1,5718,5736,1,159,0.808455,4.210526,3,6,9,1
80,5,1,5737,5741,84,88,1.191749,13.4,0,4,0,1
81,23,1,5742,5764,1,41,0.62548,3.608696,0,0,20,3
82,47,1,5765,5811,3,184,0.807255,2.510638,0,8,38,1
83,6,1,5812,5817,0,8,1.093816,11.166667,1,4,0,1
84,10,1,5818,5827,24,61,0.973062,7.4,4,4,1,1
85,18,1,5828,5845,20,116,0.714538,4.222222,0,2,15,1
86,120,1,5846,5965,14,361,0.713435,1.608333,4,9,93,14
87,308,1,5966,6273,4,750,0.707762,1.425325,12,2,216,78
88,164,1,6274,6437,3,384,0.722272,1.621951,7,4,101,52
89,66,1,6438,6503,28,155,0.77431,3.969697,2,0,11,53
90,8,1,6504,6511,1,8,1.175033,10.375,0,4,2,2
91,29,1,6512,6540,2,173,0.716988,2.931034,2,2,24,1
92,214,1,6541,6754,32,554,0.700402,1.630841,6,5,131,72
93,77,1,6755,6831,11,259,0.730891,1.87013,4,4,55,14
94,6,1,6832,6837,0,46,1.165399,10.833333,0,4,1,1
95,20,1,6838,6857,21,46,0.800756,4.3,0,2,11,7
96,22,1,6858,6879,9,30,0.86865,3.727273,0,2,19,1
97,52,1,6880,6931,4,146,0.806314,2.230769,0,0,45,7
98,6,1,6932,6937,8,21,0.945829,11.0,0,4,1,1
99,15,1,6938,6952,33,97,0.750379,5.0,0,0,12,3
100,217,1,6953,7169,42,515,0.798239,1.571429,6,6,147,58
101,4,1,7170,7173,5,60,0.644557,15.0,2,0,1,1
102,24,1,7174,7197,27,79,0.818061,3.541667,1,2,16,5
103,43,1,7198,7240,4,140,0.8396,2.581395,2,0,30,11
104,93,1,7241,7333,16,198,0.841038,1.774194,1,6,72,14
105,2,1,7334,7335,1,17,0.398761,29.5,1,0,0,1
106,17,1,7336,7352,1,67,0.800187,4.294118,2,3,11,1
107,11,1,7353,7363,4,72,0.725335,6.0,3,1,6,1
108,14,1,7364,7377,25,66,0.725718,5.214286,1,0,10,3
109,30,1,7378,7407,15,83,0.931127,4.733333,0,8,10,12
110,51,1,7408,7458,11,153,0.787382,2.176471,2,4,42,3
111,19,1,7459,7477,63,178,0.977062,4.315789,1,7,10,1
112,29,1,7478,7506,6,151,0.889763,3.482759,1,7,15,6
113,39,1,7507,7545,27,65,0.85529,2.871795,0,4,31,4
114,38,1,7546,7583,21,190,0.802736,2.526316,5,5,24,4
115,66,1,7584,7649,3,78,0.838823,2.166667,1,0,47,18
116,195,1,7650,7844,22,510,0.829465,1.405128,2,3,167,23
117,29,1,7845,7873,11,127,1.02472,4.172414,0,12,9,8
118,188,1,7874,8061,0,498,0.784462,1.382979,7,0,159,22
119,31,1,8062,8092,12,114,0.902349,2.83871,3,2,25,1
120,1,1,8093,8093,2,2,0.0,59.0,0,0,0,1
121,214,1,8094,8307,0,439,0.800308,1.630841,5,7,145,57
122,61,1,8308,8368,9,158,0.834142,2.295082,3,8,40,10
123,26,1,8369,8394,21,108,0.711967,3.115385,3,0,22,1
124,25,1,8395,8419,6,72,0.8141,3.28,1,2,21,1
125,90,1,8420,8509,2,149,0.882189,1.866667,1,6,67,16
126,3,1,8510,8512,22,24,0.791573,20.333333,0,2,0,1
127,7,1,8513,8519,5,76,0.75768,8.857143,3,2,1,1
128,87,1,8520,8606,2,297,0.806752,1.954023,2,4,58,23
129,9,1,8607,8615,22,65,0.710857,7.333333,1,0,7,1
130,14,1,8616,8629,35,84,0.903938,5.142857,0,2,11,1
131,15,1,8630,8644,5,57,0.873693,5.133333,0,4,10,1
132,20,1,8645,8664,27,101,0.865033,4.3,0,2,11,7
133,3,1,8665,8667,1,3,1.203149,20.666667,0,2,0,1
134,99,1,8668,8766,22,308,0.814505,1.949495,3,3,62,31
135,3,1,8767,8769,42,65,0.546781,20.0,1,0,1,1
136,79,1,8770,8848,14,137,0.83412,1.898734,1,2,61,15
137,8,1,8849,8856,8,98,0.864604,8.125,1,2,4,1
138,25,1,8857,8881,21,88,0.780988,3.68,0,4,15,6
139,10,1,8882,8891,29,64,0.732479,6.6,2,2,5,1
140,19,1,8892,8910,12,50,0.764276,4.052632,0,0,18,1
141,265,1,8911,9175,30,652,0.88231,1.988679,5,19,140,101
142,18,1,9176,9193,7,48,0.754855,4.5,0,0,12,6
143,69,1,9194,9262,34,161,0.901018,1.797101,3,2,63,1
144,67,1,9263,9329,5,172,0.855294,1.865672,0,2,64,1
145,3,1,9330,9332,82,84,1.273415,20.333333,0,2,0,1
146,43,1,9333,9375,32,168,0.93232,2.372093,2,8,30,3
147,36,1,9376,9411,20,57,0.879618,2.638889,1,2,32,1
148,56,1,9412,9467,5,72,0.888932,3.446429,0,8,8,40
149,14,1,9468,9481,31,115,0.922581,5.071429,3,5,5,1
150,3,1,9482,9484,10,12,0.839078,20.333333,0,2,0,1
151,63,1,9485,9547,13,177,0.782701,2.253968,2,2,38,21
152,5,1,9548,9552,10,41,0.756276,12.2,2,2,0,1
153,6,1,9553,9558,11,82,0.616384,10.333333,2,0,3,1
154,116,1,9559,9674,26,408,0.853651,1.655172,7,5,81,23
155,78,1,9675,9752,2,150,0.895934,2.269231,1,5,44,28
156,13,1,9753,9765,21,86,0.756626,5.307692,2,2,8,1
157,5,1,9766,9770,32,36,1.260907,13.6,0,4,0,1
158,8,1,9771,9778,6,56,0.783892,7.875,3,2,2,1
159,3,1,9779,9781,2,4,1.230747,20.333333,0,2,0,1
160,3,1,9782,9784,5,19,0.603583,20.0,1,0,1,1
161,7,1,9785,9791,4,24,1.056525,9.285714,2,4,0,1
162,49,1,9792,9840,0,223,0.846892,2.244898,4,3,35,7
163,9,1,9841,9849,0,104,0.8582,7.333333,1,5,2,1
164,1,1,9850,9850,9,9,0.0,59.0,0,0,0,1
165,72,1,9851,9922,3,120,0.936712,2.180556,1,12,47,12
166,7,1,9923,9929,18,25,1.06974,9.857143,0,4,2,1
167,80,1,9930,10009,7,192,0.895012,2.025,3,10,50,17
168,96,1,10010,10105,6,231,0.886621,1.8125,1,9,67,19
169,3,1,10106,10108,29,31,1.20159,20.333333,0,2,0,1
170,3,1,10109,10111,14,16,0.704069,20.333333,0,2,0,1
171,48,1,10112,10159,14,119,0.850074,2.583333,2,6,23,17
172,2,1,10160,10161,6,7,0.386121,30.0,0,0,1,1
173,1,1,10162,10162,22,22,0.0,59.0,0,0,0,1
174,95,1,10163,10257,5,279,0.856332,2.578947,3,5,25,62
175,21,1,10258,10278,8,92,0.710997,3.761905,0,0,20,1
176,49,1,10279,10327,22,113,0.878089,2.285714,2,3,37,7
177,10,1,10328,10337,30,84,0.91422,6.8,1,2,6,1
178,1,1,10338,10338,33,33,0.0,59.0,0,0,0,1
179,3,1,10339,10341,11,13,0.706127,20.333333,0,2,0,1
180,23,1,10342,10364,9,84,0.768301,3.434783,2,2,18,1
181,4,1,10365,10368,4,21,0.725293,15.25,1,2,0,1
182,33,1,10369,10401,6,92,0.825881,2.757576,1,4,27,1
183,11,1,10402,10412,11,32,0.764891,6.727273,1,0,3,7
184,5,1,10413,10417,2,7,1.157201,12.6,0,2,2,1
185,30,1,10418,10447,8,38,0.92843,3.366667,0,3,16,11
186,8,1,10448,10455,5,41,0.931903,8.125,2,2,3,1
187,25,1,10456,10480,2,68,0.956276,3.88,2,5,1,17
188,6,1,10481,10486,1,27,0.671243,10.666667,0,0,5,1
189,34,1,10487,10520,16,70,0.795021,2.735294,1,2,30,1
190,107,1,10521,10627,9,183,0.887609,2.757009,2,9,20,76
191,21,1,10628,10648,18,43,0.920406,3.809524,2,4,11,4
192,177,1,10649,10825,15,537,0.824516,1.847458,9,10,97,61
193,28,1,10826,10853,10,39,0.955289,3.357143,0,10,17,1
194,3,1,10854,10856,28,30,0.896631,20.333333,0,2,0,1
195,3,1,10857,10859,37,39,0.907187,20.333333,0,2,0,1
196,30,1,10860,10889,1,83,0.790692,3.333333,2,2,17,9
197,24,1,10890,10913,9,32,0.907035,3.916667,0,6,9,9
198,135,1,10914,11048,0,279,0.872881,1.437037,7,5,114,9
199,35,1,11049,11083,0,200,0.891474,2.628571,1,2,31,1
200,49,1,11084,11132,3,113,0.892061,3.285714,0,7,24,18
201,17,1,11133,11149,11,27,0.903492,6.882353,0,2,0,15
202,3,1,11150,11152,11,69,0.840092,20.333333,0,2,0,1
203,71,1,11153,11223,22,224,0.886479,2.380282,5,6,20,40
204,29,1,11224,11252,4,124,0.811212,2.965517,3,4,21,1
205,122,1,11253,11374,21,261,0.826237,1.639344,2,2,99,19
206,195,1,11375,11569,12,489,0.876684,2.210256,2,17,101,75
207,174,1,11570,11743,5,321,0.862913,1.775862,2,3,105,64
208,4,1,11744,11747,5,8,0.756431,16.0,0,2,1,1
209,94,1,11748,11841,24,209,0.821364,1.840426,4,6,67,17
210,29,1,11842,11870,14,173,0.885145,2.793103,4,4,20,1
211,7,1,11871,11877,7,60,1.146266,9.571429,0,4,2,1
212,24,1,11878,11901,3,58,0.864959,3.583333,0,4,15,5
213,10,1,11902,11911,0,38,1.015838,7.1,0,2,7,1
214,13,1,11912,11924,14,31,0.862416,5.461538,1,2,9,1
215,4,1,11925,11928,9,16,0.611831,15.5,0,0,3,1
216,66,1,11929,11994,11,211,0.777462,2.045455,3,0,48,15
217,3,1,11995,11997,1,3,0.716093,20.333333,0,2,0,1
218,2,1,11998,11999,11,17,0.46852,29.5,1,0,0,1
219,4,1,12000,12003,9,15,0.771801,15.25,1,2,0,1
220,10,1,12004,12013,9,82,1.016366,6.7,1,3,5,1
221,35,1,12014,12048,27,212,0.789024,2.514286,5,0,29,1
222,2,1,12049,12050,15,32,0.458696,30.0,0,0,1,1
223,23,1,12051,12073,2,81,0.895469,3.695652,0,5,17,1
224,100,1,12074,12173,1,231,0.854138,2.9,1,12,63,24
225,65,1,12174,12238,0,230,0.812927,2.076923,2,1,47,15
226,30,1,12239,12268,7,36,0.779619,2.933333,0,0,29,1
227,45,1,12269,12313,3,169,0.876918,2.311111,2,2,37,4
228,2,1,12314,12315,5,6,0.999512,30.0,0,1,0,1
229,75,1,12316,12390,10,197,0.864834,1.813333,2,4,65,4
230,8,1,12391,12398,2,47,0.71526,8.125,1,0,6,1
231,55,1,12399,12453,21,190,0.867102,2.818182,0,12,28,15
232,20,1,12454,12473,36,171,0.895402,3.9,2,2,13,3
233,27,1,12474,12500,12,198,0.815903,3.037037,5,2,19,1
234,38,1,12501,12538,13,149,0.879481,3.105263,3,2,8,25
235,15,1,12539,12553,35,91,0.900593,4.866667,2,2,10,1
236,53,1,12554,12606,9,191,0.914448,2.113208,2,10,37,4
237,5,1,12607,12611,9,87,0.707633,12.0,3,1,0,1
238,55,1,12612,12666,23,77,0.868198,2.290909,1,4,45,5
239,3,1,12667,12669,13,15,0.727499,20.333333,0,2,0,1
240,87,1,12670,12756,0,194,0.66605,2.057471,1,0,51,35
241,6,1,12757,12762,1,18,0.897069,11.0,0,2,3,1
242,66,1,12763,12828,9,254,0.766038,2.136364,0,10,45,11
243,401,1,12829,13229,2,943,0.712888,1.448878,16,9,277,99
244,48,1,13230,13277,9,80,0.806427,3.125,2,12,5,29
245,57,1,13278,13334,8,68,0.902576,2.54386,0,6,26,25
246,111,1,13335,13445,26,396,0.713448,1.783784,2,6,83,20
247,135,1,13446,13580,0,403,0.832282,1.881481,5,3,101,26
248,77,1,13581,13657,1,263,0.746354,1.779221,3,0,68,6
249,153,1,13658,13810,23,381,0.878045,2.20915,2,10,83,58
250,112,1,13811,13922,11,316,0.692824,1.669643,5,4,82,21
251,34,1,13923,13956,0,63,0.704699,2.735294,1,2,30,1
252,57,1,13957,14013,29,94,0.624336,2.368421,0,0,36,21
253,13,1,14014,14026,5,40,0.848973,5.769231,1,4,6,2
254,279,1,14027,14305,0,621,0.761334,1.297491,9,9,235,26
255,63,1,14306,14368,7,132,0.728417,1.904762,3,2,55,3
256,64,1,14369,14432,3,134,0.72275,2.328125,3,6,34,21
257,26,1,14433,14458,0,51,0.830304,3.230769,1,5,19,1
258,127,1,14459,14585,24,399,0.694866,1.622047,5,2,93,27
259,83,1,14586,14668,0,248,0.752083,1.60241,6,12,60,5
260,162,1,14669,14830,5,244,0.741133,1.592593,2,10,110,40
261,169,1,14831,14999,44,497,0.761734,1.485207,2,8,132,27
262,306,1,15000,15305,6,709,0.775935,1.424837,6,4,232,64
263,85,1,15306,15390,75,254,0.749348,2.047059,2,11,55,17
264,92,1,15391,15482,7,233,0.665858,1.706522,3,2,76,11
265,16,1,15483,15498,7,126,0.713458,4.5,2,0,13,1
266,115,1,15499,15613,1,264,0.656956,1.808696,2,4,76,33
267,43,1,15614,15656,8,50,0.81632,3.627907,0,10,12,21
268,162,1,15657,15818,5,352,0.742412,1.660494,4,12,105,41
269,26,1,15819,15844,3,37,0.910394,3.769231,0,4,11,11
270,272,1,15845,16116,9,654,0.725592,1.386029,10,14,179,69
271,94,1,16117,16210,20,197,0.683864,2.638298,3,0,35,56
272,3,1,16211,16213,13,15,1.028514,21.0,0,2,0,1
273,44,1,16214,16257,2,113,0.728634,2.5,2,3,32,7
274,252,1,16258,16509,12,573,0.757924,1.587302,15,12,157,68
275,198,1,16510,16707,14,367,0.783112,2.136364,3,12,97,86
276,153,1,16708,16860,7,278,0.74797,1.660131,2,0,111,40
277,5,1,16861,16865,3,7,1.292115,15.0,0,4,0,1
278,94,1,16866,16959,4,266,0.825674,1.734043,3,2,76,13
279,88,1,16960,17047,5,143,0.64447,1.920455,0,0,64,24
280,32,1,17048,17079,14,237,0.730915,2.78125,3,3,25,1
281,162,1,17080,17241,0,445,0.722239,1.518519,9,4,126,23
282,311,1,17242,17552,4,735,0.714603,1.66881,10,8,191,102
283,83,1,17553,17635,15,255,0.69931,1.795181,4,2,66,11
284,288,1,17636,17923,22,853,0.787931,1.555556,8,5,187,88
285,42,1,17924,17965,2,224,0.753997,2.428571,6,6,29,1
286,54,1,17966,18019,15,287,0.857061,2.111111,4,6,43,1
287,56,1,18020,18075,2,131,0.712409,2.053571,2,2,48,4
288,43,1,18076,18118,10,109,0.728044,2.302326,0,2,40,1
289,106,1,18119,18224,49,301,0.751847,1.896226,3,6,70,27
290,12,1,18225,18236,2,128,0.634878,5.916667,3,0,4,5
291,108,1,18237,18344,15,251,0.776326,1.888889,4,3,65,36
292,11,1,18345,18355,17,48,1.104507,6.818182,0,4,6,1
293,71,1,18356,18426,6,134,0.76262,2.704225,1,6,26,38
294,45,1,18427,18471,73,271,0.750685,2.288889,1,2,40,2
295,30,1,18472,18501,40,111,0.845441,2.933333,2,2,25,1
296,102,1,18502,18603,1,269,0.770607,1.627451,4,3,86,9
297,9,1,18604,18612,7,16,1.077783,8.111111,0,6,2,1
298,128,1,18613,18740,19,296,0.768155,1.75,3,2,91,32
299,3,1,18741,18743,1,3,0.772858,20.333333,0,2,0,1
300,57,1,18744,18800,6,100,0.735786,2.736842,0,2,22,33
301,135,1,18801,18935,15,356,0.800166,1.955556,5,10,68,52
302,152,1,18936,19087,10,423,0.729307,1.822368,6,1,81,64
303,20,1,19088,19107,22,41,0.65018,4.45,0,0,12,8
304,21,1,19108,19128,8,48,0.782136,3.619048,1,5,12,3
305,97,1,19129,19225,10,248,0.722167,1.824742,2,2,68,25
306,46,1,19226,19271,4,102,0.830194,2.391304,0,0,39,7
307,19,1,19272,19290,37,108,0.802818,3.947368,2,2,14,1
308,137,1,19291,19427,34,356,0.68906,1.59854,3,4,109,21
309,173,1,19428,19600,2,372,0.715248,1.479769,3,6,133,31
310,11,1,19601,19611,27,41,0.945741,6.272727,0,2,8,1
311,7,1,19612,19618,6,12,1.309424,10.714286,0,6,0,1
312,125,1,19619,19743,2,269,0.723285,1.728,3,4,93,25
313,64,1,19744,19807,3,137,0.695099,2.015625,4,2,46,12
314,8,1,19808,19815,5,26,0.910696,8.125,1,2,4,1
315,1,1,19816,19816,0,0,0.0,59.0,0,0,0,1
316,120,1,19817,19936,10,278,0.734404,1.8,5,8,75,32
317,365,1,19937,20301,6,694,0.769998,1.468493,6,10,241,108
318,88,1,20302,20389,27,253,0.76761,1.829545,3,2,64,19
319,7,1,20390,20396,16,22,1.244232,10.714286,0,6,0,1
320,218,1,20397,20614,16,496,0.732197,1.568807,4,2,148,64
321,21,1,20615,20635,4,74,0.875351,4.095238,1,6,11,3
322,9,1,20636,20644,13,67,0.711928,7.111111,3,0,5,1
323,281,1,20645,20925,5,706,0.680426,1.743772,6,8,193,74
324,449,1,20926,21374,20,1132,0.710829,1.518931,10,3,338,98
325,10,1,21375,21384,7,41,1.128852,7.5,1,6,2,1
326,176,1,21385,21560,11,440,0.73452,1.6875,6,5,121,44
327,13,1,21561,21573,2,37,0.796744,6.153846,1,2,3,7
328,20,1,21574,21593,6,44,0.779094,4.15,1,2,10,7
329,224,1,21594,21817,103,603,0.788819,1.334821,4,1,197,22
330,8,1,21818,21825,21,34,1.148369,8.875,1,6,0,1
331,197,1,21826,22022,3,712,0.736853,1.416244,17,9,145,26
332,49,1,22023,22071,60,221,0.819641,2.285714,1,5,39,4
333,41,1,22072,22112,1,162,0.739242,2.414634,1,0,38,2
334,93,1,22113,22205,6,203,0.723696,1.795699,3,2,72,16
335,187,1,22206,22392,2,517,0.771403,1.786096,2,7,111,67
336,3,1,22393,22395,64,77,0.73538,20.0,1,1,0,1
337,212,1,22396,22607,20,419,0.764954,1.660377,3,4,120,85
338,75,1,22608,22682,9,217,0.818918,1.92,3,6,56,10
339,6,1,22683,22688,5,62,0.601553,10.5,1,0,4,1
340,13,1,22689,22701,23,105,0.875642,5.230769,3,3,6,1
341,10,1,22702,22711,8,21,1.031005,6.9,1,4,4,1
342,6,1,22712,22717,1,6,0.910489,11.0,0,2,3,1
343,7,1,22718,22724,28,101,1.016805,9.285714,0,2,4,1
344,25,1,22725,22749,51,198,0.716316,3.28,1,0,23,1
345,188,1,22750,22937,17,498,0.806221,1.723404,5,4,122,57
346,40,1,22938,22977,3,129,0.916318,3.375,3,10,14,13
347,19,1,22978,22996,10,172,0.79458,4.263158,2,4,12,1
348,14,1,22997,23010,26,107,0.76775,5.071429,3,2,8,1
349,8,1,23011,23018,22,61,0.77467,8.125,2,2,3,1
350,1,1,23019,23019,3,3,0.0,59.0,0,0,0,1
351,51,1,23020,23070,14,196,0.782821,2.215686,3,4,38,6
352,55,1,23071,23125,6,85,0.867229,2.345455,0,1,39,15
353,50,1,23126,23175,11,155,0.808825,2.6,3,4,21,22
354,56,1,23176,23231,5,190,0.795395,2.053571,1,4,50,1
355,16,1,23232,23247,33,53,0.932782,5.3125,0,6,4,6
356,3,1,23248,23250,2,4,1.242038,20.333333,0,2,0,1
357,66,1,23251,23316,2,131,0.809233,2.181818,1,4,48,13
358,66,1,23317,23382,9,169,0.720662,2.318182,0,0,36,30
359,2,1,23383,23384,1,14,0.381738,30.0,0,0,1,1
360,62,1,23385,23446,32,178,0.738771,1.935484,2,0,57,3
361,3,1,23447,23449,2,23,0.490593,19.666667,2,0,0,1
362,144,1,23450,23593,25,374,0.794303,1.604167,4,5,106,29
363,57,1,23594,23650,39,150,0.76492,3.385965,1,2,17,37
364,59,1,23651,23709,33,276,0.797396,2.0,6,2,43,8
365,44,1,23710,23753,5,120,0.772991,2.386364,1,2,36,5
366,7,1,23754,23760,2,15,0.66868,9.142857,1,0,5,1
367,2,1,23761,23762,22,52,0.354532,30.0,0,0,1,1
368,19,1,23763,23781,3,28,0.851383,4.105263,1,2,15,1
369,30,1,23782,23811,3,102,0.835607,3.133333,0,4,23,3
370,5,1,23812,23816,2,27,0.988361,12.4,1,2,1,1
371,63,1,23817,23879,23,239,0.794892,2.079365,5,4,42,12
372,3,1,23880,23882,2,4,0.982396,20.333333,0,2,0,1
373,34,1,23883,23916,3,75,0.825378,2.764706,1,0,29,4
374,39,1,23917,23955,9,88,0.912087,2.666667,0,4,27,8
375,122,1,23956,24077,5,194,0.730193,1.704918,1,0,91,30
376,3,1,24078,24080,7,79,0.476293,20.333333,0,0,2,1
377,50,1,24081,24130,3,107,0.884484,2.14,2,5,41,2
378,64,1,24131,24194,4,252,0.85752,2.4375,2,4,34,24
379,131,1,24195,24325,1,161,0.776098,2.938931,2,10,46,73
380,91,1,24326,24416,5,225,0.832488,1.802198,3,4,65,19
381,7,1,24417,24423,14,75,0.885543,9.142857,1,2,3,1
382,81,1,24424,24504,2,175,0.762061,1.82716,2,0,67,12
383,135,1,24505,24639,2,409,0.826078,1.540741,9,5,99,22
384,176,1,24640,24815,21,444,0.756797,1.568182,5,3,129,39
385,132,1,24816,24947,8,364,0.690094,1.651515,6,0,91,35
386,59,1,24948,25006,5,206,0.903783,2.322034,4,6,34,15
387,10,1,25007,25016,8,108,0.632091,6.2,6,0,3,1
388,169,1,25017,25185,1,572,0.743909,2.100592,5,4,94,66
389,9,1,25186,25194,31,71,1.030433,8.111111,1,6,1,1
390,130,1,25195,25324,5,364,0.743733,1.761538,6,7,83,34
391,3,1,25325,25327,25,27,0.840875,20.333333,0,2,0,1
392,21,1,25328,25348,81,155,0.748303,3.952381,2,6,12,1
393,120,1,25349,25468,18,223,0.725412,2.308333,1,2,69,48
394,268,1,25469,25736,0,547,0.695423,1.380597,4,6,215,43
395,123,1,25737,25859,1,164,0.773045,2.284553,2,4,46,71
396,89,1,25860,25948,8,173,0.81784,2.089888,3,4,50,32
397,26,1,25949,25974,6,96,0.767344,3.538462,1,6,15,4
398,71,1,25975,26045,4,83,0.772386,2.15493,1,8,37,25
399,113,1,26046,26158,23,411,0.70287,1.734513,6,4,79,24
400,89,1,26159,26247,0,97,0.754253,3.483146,0,4,29,56
401,137,1,26248,26384,11,281,0.681305,1.664234,1,0,104,32
402,18,1,26385,26402,10,27,0.864474,5.777778,0,6,1,11
403,1,1,26403,26403,0,0,0.0,59.0,0,0,0,1
404,159,1,26404,26562,24,436,0.788424,1.830189,6,13,84,56
405,6,1,26563,26568,26,38,0.889818,11.0,0,2,3,1
406,50,1,26569,26618,4,279,0.687684,2.22,3,2,38,7
407,13,1,26619,26631,4,34,0.731829,5.461538,0,2,10,1
408,326,1,26632,26957,1,694,0.723453,1.355828,13,5,244,64
409,3,1,26958,26960,7,9,1.175496,20.333333,0,2,0,1
